,TP9,AF7,AF8,TP10,Right AUX,timestamps
228,-26.855,-29.297,-25.391,-28.320,0.000,1659355776.963
229,-18.066,-30.762,-28.809,-22.949,0.000,1659355776.966
230,-6.348,-38.086,-22.949,-13.184,0.000,1659355776.970
231,-19.043,-41.016,-24.414,-17.090,0.000,1659355776.974
232,-16.602,-33.691,-25.879,-28.809,0.000,1659355776.977
233,-16.602,-29.785,-24.902,-29.297,0.000,1659355776.981
234,-29.785,-38.574,-25.391,-16.602,0.000,1659355776.984
235,-26.367,-39.551,-27.832,-20.508,0.000,1659355776.988
236,-29.785,-28.809,-27.344,-36.621,0.000,1659355776.992
237,-32.715,-24.902,-20.020,-32.227,0.000,1659355776.995
238,-25.879,-23.438,-17.578,-21.973,0.000,1659355776.999
239,-28.809,-27.832,-26.855,-21.484,0.000,1659355777.002
240,-34.180,-36.133,-34.180,-28.320,0.000,1659355777.008
241,-26.855,-34.668,-31.250,-41.504,0.000,1659355777.012
242,-19.531,-31.250,-24.902,-34.180,0.000,1659355777.016
243,-23.926,-33.691,-26.855,-23.438,0.000,1659355777.019
244,-29.785,-37.598,-22.461,-28.809,0.000,1659355777.023
245,-32.227,-33.203,-18.066,-27.344,0.000,1659355777.026
246,-28.320,-26.367,-20.508,-23.438,0.000,1659355777.030
247,-23.438,-29.297,-25.879,-23.438,0.000,1659355777.034
248,-25.391,-31.738,-27.832,-33.691,0.000,1659355777.037
249,-38.574,-33.203,-24.902,-38.574,0.000,1659355777.041
250,-41.016,-30.762,-22.461,-24.902,0.000,1659355777.044
251,-41.016,-26.855,-20.020,-24.414,0.000,1659355777.048
252,-36.621,-30.273,-19.043,-26.855,0.000,1659355777.054
253,-23.926,-33.203,-23.438,-27.344,0.000,1659355777.058
254,-22.949,-28.809,-23.438,-28.809,0.000,1659355777.061
255,-15.137,-26.367,-18.066,-21.484,0.000,1659355777.065
256,-15.625,-36.621,-21.973,-15.137,0.000,1659355777.068
257,-32.227,-47.363,-26.367,-15.137,0.000,1659355777.072
258,-25.879,-40.527,-21.484,-25.391,0.000,1659355777.076
259,-13.184,-30.273,-18.555,-26.855,0.000,1659355777.079
260,-19.531,-30.273,-20.996,-19.043,0.000,1659355777.083
261,-18.066,-35.156,-20.020,-15.137,0.000,1659355777.087
262,-23.438,-30.273,-22.461,-18.066,0.000,1659355777.090
263,-31.250,-23.926,-23.926,-23.438,0.000,1659355777.094
264,-22.949,-32.715,-26.855,-24.414,0.000,1659355777.101
265,-25.391,-35.156,-31.250,-32.715,0.000,1659355777.104
266,-27.832,-30.273,-26.367,-34.180,0.000,1659355777.108
267,-17.578,-30.762,-25.391,-20.508,0.000,1659355777.112
268,-13.672,-31.250,-26.367,-14.160,0.000,1659355777.115
269,-8.789,-36.133,-23.438,-15.137,0.000,1659355777.119
270,-4.883,-39.062,-20.996,-14.160,0.000,1659355777.123
271,-5.371,-25.879,-22.461,-12.695,0.000,1659355777.126
272,-1.465,-24.414,-20.508,-6.348,0.000,1659355777.130
273,-8.301,-33.691,-19.531,-6.836,0.000,1659355777.134
274,-9.766,-32.227,-27.832,-21.484,0.000,1659355777.137
275,-4.395,-25.879,-30.762,-16.602,0.000,1659355777.141
276,-0.977,-20.508,-30.273,1.465,0.000,1659355777.148
277,-3.418,-26.367,-34.180,-8.301,0.000,1659355777.151
278,-12.695,-27.344,-34.180,-21.484,0.000,1659355777.155
279,-23.438,-26.367,-32.227,-23.438,0.000,1659355777.159
280,-26.367,-32.715,-30.273,-21.484,0.000,1659355777.162
281,-13.184,-34.180,-31.250,-18.555,0.000,1659355777.166
282,-13.184,-37.109,-33.691,-19.531,0.000,1659355777.170
283,-26.367,-40.039,-33.691,-22.949,0.000,1659355777.173
284,-30.273,-41.016,-34.180,-14.160,0.000,1659355777.177
285,-24.902,-37.598,-37.109,-16.113,0.000,1659355777.180
286,-28.320,-30.762,-35.156,-29.785,0.000,1659355777.184
287,-20.996,-32.227,-23.926,-19.531,0.000,1659355777.188
288,-8.789,-29.785,-22.949,-9.766,0.000,1659355777.194
289,-11.230,-30.273,-22.461,-9.277,0.000,1659355777.198
290,-20.996,-37.109,-23.438,-17.578,0.000,1659355777.202
291,-24.902,-33.203,-25.391,-22.949,0.000,1659355777.205
292,-26.855,-29.785,-21.484,-21.973,0.000,1659355777.209
293,-34.180,-33.203,-24.414,-21.484,0.000,1659355777.213
294,-27.344,-33.691,-27.344,-27.832,0.000,1659355777.216
295,-35.645,-40.039,-30.762,-35.645,0.000,1659355777.220
296,-46.387,-42.480,-33.691,-31.738,0.000,1659355777.224
297,-46.875,-32.227,-36.133,-33.691,0.000,1659355777.227
298,-44.434,-30.273,-27.832,-43.945,0.000,1659355777.231
299,-40.527,-35.156,-26.367,-42.969,0.000,1659355777.235
300,-43.457,-39.551,-28.809,-41.016,0.000,1659355777.241
301,-42.480,-39.551,-28.320,-40.527,0.000,1659355777.245
302,-46.387,-39.551,-34.668,-34.180,0.000,1659355777.248
303,-49.316,-46.875,-36.621,-28.320,0.000,1659355777.252
304,-40.039,-42.480,-35.645,-42.480,0.000,1659355777.256
305,-33.691,-36.133,-33.691,-51.270,0.000,1659355777.259
306,-40.527,-40.527,-33.691,-44.434,0.000,1659355777.263
307,-50.293,-43.457,-32.227,-38.574,0.000,1659355777.267
308,-46.875,-39.551,-33.203,-36.621,0.000,1659355777.270
309,-49.805,-30.762,-31.738,-40.039,0.000,1659355777.274
310,-49.316,-31.738,-27.832,-29.785,0.000,1659355777.278
311,-40.039,-36.621,-30.273,-21.484,0.000,1659355777.281
312,-41.504,-41.016,-33.203,-23.438,0.000,1659355777.287
313,-46.387,-46.875,-34.180,-20.020,0.000,1659355777.291
314,-33.691,-41.504,-27.832,-9.277,0.000,1659355777.295
315,-29.785,-32.227,-29.297,-14.648,0.000,1659355777.298
