,TP9,AF7,AF8,TP10,Right AUX,timestamps
262,-28.320,-70.312,-44.922,4.395,0.000,1659356055.567
263,-25.879,-68.848,-47.852,9.277,0.000,1659356055.571
264,-20.996,-68.359,-47.363,15.137,0.000,1659356055.578
265,-21.973,-68.848,-47.363,12.207,0.000,1659356055.581
266,-22.949,-69.824,-46.875,11.230,0.000,1659356055.585
267,-10.742,-65.918,-45.898,20.020,0.000,1659356055.589
268,-7.324,-65.918,-53.711,21.973,0.000,1659356055.592
269,-10.742,-70.312,-53.711,19.531,0.000,1659356055.596
270,-15.137,-73.730,-52.246,14.648,0.000,1659356055.600
271,-22.461,-72.754,-55.664,13.184,0.000,1659356055.603
272,-23.926,-73.730,-52.734,20.020,0.000,1659356055.607
273,-24.414,-78.613,-56.152,17.090,0.000,1659356055.611
274,-21.484,-71.289,-58.105,10.742,0.000,1659356055.614
275,-14.648,-65.918,-52.246,15.137,0.000,1659356055.618
276,-7.812,-74.707,-51.758,16.113,0.000,1659356055.625
277,-3.418,-78.125,-54.688,14.648,0.000,1659356055.628
278,-9.766,-70.312,-52.246,15.625,0.000,1659356055.632
279,-14.648,-66.406,-53.711,17.090,0.000,1659356055.635
280,-3.418,-69.824,-60.547,23.438,0.000,1659356055.639
281,2.930,-72.266,-57.617,27.344,0.000,1659356055.643
282,-6.836,-71.289,-51.758,25.391,0.000,1659356055.646
283,-11.719,-69.824,-49.316,21.484,0.000,1659356055.650
284,-5.859,-76.172,-50.293,23.926,0.000,1659356055.654
285,-7.812,-74.707,-49.316,22.949,0.000,1659356055.657
286,-9.277,-69.336,-47.363,12.207,0.000,1659356055.661
287,-4.395,-71.289,-49.805,18.555,0.000,1659356055.665
288,3.906,-69.336,-46.875,29.785,0.000,1659356055.671
289,6.836,-70.801,-49.316,34.668,0.000,1659356055.675
290,2.930,-69.336,-52.246,33.203,0.000,1659356055.678
291,-7.324,-67.871,-50.781,27.344,0.000,1659356055.682
292,-15.137,-71.289,-54.199,23.438,0.000,1659356055.686
293,-14.648,-70.312,-54.199,18.066,0.000,1659356055.689
294,-15.137,-68.848,-53.223,17.090,0.000,1659356055.693
295,-18.555,-72.266,-50.781,23.438,0.000,1659356055.697
296,-17.090,-70.801,-48.340,28.320,0.000,1659356055.700
297,-15.137,-64.453,-48.340,29.297,0.000,1659356055.704
298,-19.531,-73.730,-53.223,24.414,0.000,1659356055.708
299,-30.273,-83.984,-56.152,18.066,0.000,1659356055.711
300,-36.621,-83.496,-51.270,13.672,0.000,1659356055.718
301,-32.715,-81.055,-51.270,10.254,0.000,1659356055.721
302,-30.273,-80.566,-52.734,15.625,0.000,1659356055.725
303,-31.738,-79.590,-51.758,17.090,0.000,1659356055.729
304,-38.086,-73.730,-54.199,5.859,0.000,1659356055.732
305,-32.715,-76.660,-54.688,6.836,0.000,1659356055.736
306,-24.902,-81.055,-49.805,18.066,0.000,1659356055.740
307,-26.855,-78.613,-43.457,25.879,0.000,1659356055.743
308,-28.809,-75.684,-46.875,24.414,0.000,1659356055.747
309,-27.344,-74.707,-53.711,15.137,0.000,1659356055.751
310,-22.461,-78.125,-57.617,10.742,0.000,1659356055.754
311,-19.531,-82.520,-64.941,14.648,0.000,1659356055.758
312,-24.902,-90.820,-67.871,8.789,0.000,1659356055.764
313,-25.879,-88.867,-61.523,7.812,0.000,1659356055.768
314,-16.113,-83.008,-57.617,16.602,0.000,1659356055.771
315,-13.184,-86.426,-53.711,17.090,0.000,1659356055.775
316,-20.996,-88.867,-51.758,13.184,0.000,1659356055.779
317,-19.531,-87.891,-52.734,15.625,0.000,1659356055.782
318,-5.859,-86.914,-51.270,22.461,0.000,1659356055.786
319,-6.348,-88.867,-53.711,19.531,0.000,1659356055.790
320,-16.113,-89.355,-54.688,18.066,0.000,1659356055.793
321,-15.137,-83.984,-50.293,19.043,0.000,1659356055.797
322,-8.301,-82.520,-54.199,25.879,0.000,1659356055.801
323,-10.254,-87.402,-59.570,33.203,0.000,1659356055.804
324,-12.207,-89.355,-57.129,26.367,0.000,1659356055.810
325,-7.324,-84.961,-52.246,18.066,0.000,1659356055.814
326,-9.766,-81.055,-54.688,20.508,0.000,1659356055.818
327,-14.160,-78.125,-55.176,26.367,0.000,1659356055.822
328,-11.230,-72.754,-55.664,27.832,0.000,1659356055.825
329,-20.508,-76.660,-61.523,18.555,0.000,1659356055.829
330,-21.973,-83.496,-63.965,17.090,0.000,1659356055.833
331,-18.066,-76.660,-59.082,23.926,0.000,1659356055.836
332,-22.949,-74.219,-56.152,16.602,0.000,1659356055.840
333,-22.461,-79.590,-55.664,7.324,0.000,1659356055.844
334,-17.578,-77.148,-50.293,10.254,0.000,1659356055.847
335,-13.184,-73.730,-48.828,13.184,0.000,1659356055.851
336,-16.113,-73.730,-54.688,8.301,0.000,1659356055.857
337,-23.926,-81.055,-54.199,8.789,0.000,1659356055.860
338,-26.367,-81.055,-48.340,13.184,0.000,1659356055.864
339,-19.043,-75.195,-49.316,12.695,0.000,1659356055.868
340,-12.695,-74.219,-51.758,14.648,0.000,1659356055.871
341,-12.207,-74.707,-53.223,16.113,0.000,1659356055.875
342,-15.137,-75.684,-52.246,20.508,0.000,1659356055.879
343,-10.742,-69.336,-47.363,15.137,0.000,1659356055.883
344,-8.301,-70.801,-48.828,4.883,0.000,1659356055.886
345,-14.648,-80.566,-50.781,8.789,0.000,1659356055.890
346,-18.066,-78.125,-48.340,10.254,0.000,1659356055.894
347,-16.113,-71.289,-45.898,15.137,0.000,1659356055.897
348,-9.766,-72.754,-45.410,21.973,0.000,1659356055.904
349,-5.859,-78.125,-45.898,25.879,0.000,1659356055.908
350,-10.254,-80.566,-47.363,24.414,0.000,1659356055.911
351,-16.602,-79.102,-52.734,17.578,0.000,1659356055.915
352,-8.789,-77.637,-54.199,20.020,0.000,1659356055.919
353,-4.395,-80.566,-59.082,22.461,0.000,1659356055.922
354,-7.812,-85.449,-62.988,20.020,0.000,1659356055.926
355,-17.578,-83.008,-60.547,14.160,0.000,1659356055.930
356,-14.648,-76.660,-62.012,10.254,0.000,1659356055.934
357,-10.742,-82.031,-63.477,12.695,0.000,1659356055.937
358,-15.625,-85.938,-58.105,12.695,0.000,1659356055.941
359,-15.137,-81.543,-52.246,5.859,0.000,1659356055.945
360,-10.742,-81.055,-50.781,11.719,0.000,1659356055.951
361,-7.812,-78.613,-55.176,21.484,0.000,1659356055.955
362,-10.254,-77.637,-52.734,20.020,0.000,1659356055.959
363,-9.766,-77.637,-42.480,20.996,0.000,1659356055.962
364,-6.348,-83.984,-46.387,24.902,0.000,1659356055.966
365,-1.953,-89.844,-56.641,20.020,0.000,1659356055.970
366,4.395,-82.031,-55.176,17.578,0.000,1659356055.973
367,-5.371,-77.148,-50.293,19.043,0.000,1659356055.977
368,-16.113,-75.684,-50.293,23.926,0.000,1659356055.981
369,-8.301,-74.707,-51.270,26.367,0.000,1659356055.984
370,-2.930,-72.266,-52.246,13.672,0.000,1659356055.988
371,-4.883,-74.219,-53.711,7.324,0.000,1659356055.992
372,-13.184,-78.125,-52.734,10.742,0.000,1659356055.998
373,-12.695,-80.566,-54.199,12.207,0.000,1659356056.002
374,-3.418,-81.055,-57.129,14.160,0.000,1659356056.006
375,-9.277,-83.984,-57.129,8.301,0.000,1659356056.009
376,-17.090,-87.402,-56.152,1.465,0.000,1659356056.013
377,-20.996,-87.891,-56.641,0.000,0.000,1659356056.017
378,-23.926,-87.402,-58.105,3.418,0.000,1659356056.020
379,-23.926,-87.402,-59.082,4.883,0.000,1659356056.024
380,-28.320,-91.309,-57.617,8.301,0.000,1659356056.028
381,-27.832,-86.426,-55.176,-0.488,0.000,1659356056.032
382,-22.461,-77.148,-58.594,-7.324,0.000,1659356056.035
383,-12.695,-75.195,-58.594,1.953,0.000,1659356056.039
384,-10.254,-81.055,-58.594,1.953,0.000,1659356056.045
385,-12.207,-84.961,-56.641,0.977,0.000,1659356056.049
386,-11.230,-87.891,-53.711,6.836,0.000,1659356056.053
387,-8.301,-87.891,-53.711,7.324,0.000,1659356056.056
388,-0.977,-86.914,-52.246,7.324,0.000,1659356056.060
389,3.906,-83.008,-53.223,14.648,0.000,1659356056.064
390,3.906,-80.566,-53.711,13.184,0.000,1659356056.067
391,21.484,-82.520,-59.570,21.973,0.000,1659356056.071
392,33.203,-80.078,-56.641,45.898,0.000,1659356056.075
393,-0.977,-76.172,-47.852,22.461,0.000,1659356056.079
394,-25.879,-70.312,-48.340,-3.418,0.000,1659356056.082
395,-14.160,-76.172,-50.293,5.371,0.000,1659356056.086
396,-21.484,-89.844,-46.387,3.906,0.000,1659356056.092
397,-30.273,-92.773,-46.875,-5.371,0.000,1659356056.096
398,-27.344,-92.773,-42.969,0.488,0.000,1659356056.099
399,-31.738,-92.773,-40.527,7.324,0.000,1659356056.103
400,-24.902,-92.285,-44.922,2.930,0.000,1659356056.107
401,-17.578,-87.402,-46.387,-2.930,0.000,1659356056.110
402,-20.996,-80.078,-45.410,-6.836,0.000,1659356056.114
403,-20.020,-76.660,-45.410,4.395,0.000,1659356056.118
404,-10.742,-74.219,-44.922,17.090,0.000,1659356056.122
405,-16.113,-72.754,-47.363,13.184,0.000,1659356056.125
406,-17.578,-71.777,-44.922,8.301,0.000,1659356056.129
407,-13.672,-76.172,-45.898,8.301,0.000,1659356056.133
408,-16.602,-82.031,-53.223,6.348,0.000,1659356056.138
409,-13.672,-82.520,-48.340,8.789,0.000,1659356056.142
410,-12.695,-85.449,-49.316,14.648,0.000,1659356056.146
411,-21.973,-84.961,-53.711,13.672,0.000,1659356056.150
412,-21.973,-80.078,-47.363,28.320,0.000,1659356056.153
413,-19.531,-83.496,-54.199,39.551,0.000,1659356056.157
414,-24.902,-88.379,-65.918,30.762,0.000,1659356056.161
415,-20.020,-86.914,-62.500,20.508,0.000,1659356056.165
416,-19.043,-79.102,-56.641,13.672,0.000,1659356056.168
417,-17.578,-75.684,-54.688,20.508,0.000,1659356056.172
418,-13.672,-81.543,-53.711,20.020,0.000,1659356056.176
419,-5.371,-82.031,-50.781,21.973,0.000,1659356056.179
420,1.465,-80.566,-51.270,20.996,0.000,1659356056.185
421,0.977,-85.938,-54.199,23.438,0.000,1659356056.189
422,0.488,-91.797,-53.223,29.785,0.000,1659356056.192
423,-4.883,-91.309,-49.316,23.926,0.000,1659356056.196
424,-3.906,-87.402,-45.898,26.367,0.000,1659356056.200
425,2.930,-87.891,-42.969,25.391,0.000,1659356056.204
426,0.488,-93.750,-50.781,12.695,0.000,1659356056.207
427,-10.742,-99.121,-54.688,7.324,0.000,1659356056.211
428,-5.859,-97.168,-48.340,4.883,0.000,1659356056.215
429,11.719,-92.773,-48.828,14.648,0.000,1659356056.219
430,10.742,-90.332,-48.828,21.484,0.000,1659356056.222
431,1.465,-89.844,-47.852,19.043,0.000,1659356056.226
