timestamps,TP9,AF7,AF8,TP10,Right AUX
1659217162.499,-223.145,-510.254,33.203,-73.242,0.0
1659217162.502,122.07,-501.953,32.227,235.84,0.0
1659217162.506,-225.098,-509.766,33.691,-60.059,0.0
1659217162.513,-621.094,-519.043,21.484,-425.781,0.0
1659217162.517,-366.699,-508.789,10.742,-215.332,0.0
1659217162.521,119.141,-492.188,7.324,202.148,0.0
1659217162.524,-31.25,-497.07,5.371,75.684,0.0
1659217162.528,-540.039,-507.324,7.812,-347.656,0.0
1659217162.532,-453.125,-503.906,1.953,-284.18,0.0
1659217162.535,34.668,-501.465,-3.906,138.184,0.0
1659217162.539,89.355,-508.301,-1.953,196.777,0.0
1659217162.542,-394.043,-513.184,0.977,-231.934,0.0
1659217162.546,-499.023,-511.23,-6.348,-339.844,0.0
1659217162.55,-60.059,-509.766,-15.137,41.016,0.0
1659217162.553,173.828,-505.859,-11.719,263.672,0.0
1659217162.56,-262.207,-514.648,-8.301,-118.164,0.0
1659217162.564,-540.527,-521.484,-13.184,-368.164,0.0
1659217162.568,-203.125,-521.484,-14.648,-77.148,0.0
1659217162.571,181.152,-517.09,-19.531,264.16,0.0
1659217162.575,-108.398,-511.23,-22.461,12.207,0.0
1659217162.579,-514.648,-519.531,-21.973,-356.934,0.0
1659217162.582,-301.758,-519.043,-29.785,-185.547,0.0
1659217162.586,164.551,-510.742,-29.297,229.98,0.0
1659217162.59,41.992,-510.742,-25.391,149.414,0.0
1659217162.593,-457.031,-514.16,-35.156,-295.898,0.0
1659217162.597,-403.32,-516.113,-36.621,-273.926,0.0
1659217162.6,67.871,-502.441,-29.297,153.809,0.0
1659217162.607,154.297,-493.652,-26.367,244.629,0.0
1659217162.611,-329.59,-492.188,-21.484,-187.5,0.0
1659217162.614,-485.352,-483.398,-20.508,-323.242,0.0
1659217162.618,-63.477,-477.539,-28.32,43.457,0.0
1659217162.622,224.609,-468.75,-34.668,287.109,0.0
1659217162.625,-187.012,-473.633,-33.691,-65.918,0.0
1659217162.629,-487.793,-482.91,-28.32,-312.5,0.0
1659217162.633,-187.5,-462.891,-32.227,-53.223,0.0
1659217162.636,186.035,-435.547,-47.363,257.324,0.0
1659217162.64,-52.734,-442.871,-50.781,40.527,0.0
1659217162.644,-473.633,-447.754,-36.621,-327.148,0.0
1659217162.647,-302.734,-436.035,-38.086,-189.941,0.0
